schema_nm,table_nm,obj_typ,ord,is_key,column_nm,data_typ,nullable,column_descr
campus_eats_fall2020,delivery,TBL,1,PK,delivery_id,int(10),"NOT NULL",
campus_eats_fall2020,delivery,TBL,2,FK,driver_id,int(10),"NOT NULL",
campus_eats_fall2020,delivery,TBL,3,FK,vehicle_id,int(10),"NOT NULL",
campus_eats_fall2020,delivery,TBL,4," ",delivery_time,datetime(8),NULL,
campus_eats_fall2020,driver,TBL,1,PK,driver_id,int(10),"NOT NULL",
campus_eats_fall2020,driver,TBL,2,FK,student_id,int(10),"NOT NULL",
campus_eats_fall2020,driver,TBL,3," ",license_number,varchar(75),NULL,
campus_eats_fall2020,driver,TBL,4," ",date_hired,date(3),NULL,
campus_eats_fall2020,driver,TBL,5," ",rating,float(12),NULL,
campus_eats_fall2020,driver_rating_view,VW,1," ",driver_id,int(10),"NOT NULL",
campus_eats_fall2020,driver_rating_view,VW,2," ",person_name,varchar(300),NULL,
campus_eats_fall2020,driver_rating_view,VW,3," ","Order Count",bigint(19),"NOT NULL",
campus_eats_fall2020,driver_rating_view,VW,4," ",Rating,"decimal(14,4)",NULL,
campus_eats_fall2020,faculty,TBL,1,PK,faculty_id,int(10),"NOT NULL",
campus_eats_fall2020,faculty,TBL,2,FK,person_id,int(10),"NOT NULL",
campus_eats_fall2020,faculty,TBL,3," ",title,varchar(75),NULL,
campus_eats_fall2020,faculty,TBL,4," ",degree_college,varchar(75),NULL,
campus_eats_fall2020,faculty,TBL,5," ",highest_degree,varchar(75),NULL,
campus_eats_fall2020,location,TBL,1,"PK,UK",location_id,int(10),"NOT NULL",
campus_eats_fall2020,location,TBL,2," ",location_name,varchar(75),NULL,
campus_eats_fall2020,location,TBL,3," ",location_address,varchar(75),NULL,
campus_eats_fall2020,location,TBL,4," ",latitude,varchar(75),NULL,
campus_eats_fall2020,location,TBL,5," ",longitude,varchar(75),NULL,
campus_eats_fall2020,location,TBL,6," ",drop_off_point,varchar(75),NULL,
campus_eats_fall2020,order,TBL,1,PK,order_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,2,FK,person_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,3,FK,delivery_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,4,FK,location_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,5,FK,driver_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,6,FK,restaurant_id,int(10),"NOT NULL",
campus_eats_fall2020,order,TBL,7," ",total_price,float(12),"NOT NULL",
campus_eats_fall2020,order,TBL,8," ",delivery_charge,float(12),NULL,
campus_eats_fall2020,order_rating_comparison,VW,1," ",order_id,int(10),"NOT NULL",
campus_eats_fall2020,order_rating_comparison,VW,2," ",driver_id,int(10),"NOT NULL",
campus_eats_fall2020,order_rating_comparison,VW,3," ",person_name,varchar(300),NULL,
campus_eats_fall2020,order_rating_comparison,VW,4," ","Driver Rating","decimal(14,4)",NULL,
campus_eats_fall2020,order_rating_comparison,VW,5," ",restaurant_id,int(10),"NOT NULL",
campus_eats_fall2020,order_rating_comparison,VW,6," ",restaurant_name,varchar(75),NULL,
campus_eats_fall2020,order_rating_comparison,VW,7," ",Restaurant_Rating,"decimal(14,4)",NULL,
campus_eats_fall2020,order_rating_comparison,VW,8," ",Average_Order_Rating,"decimal(15,4)",NULL,
campus_eats_fall2020,order_rating_comparison,VW,9," ","Average Driver's Order's Rating","decimal(19,8)",NULL,
campus_eats_fall2020,order_rating_comparison,VW,10," ","Average Restaurant's Order's Rating","decimal(19,8)",NULL,
campus_eats_fall2020,person,TBL,1,PK,person_id,int(10),"NOT NULL",
campus_eats_fall2020,person,TBL,2," ",person_name,varchar(300),NULL,
campus_eats_fall2020,person,TBL,3," ",person_email,varchar(150),NULL,
campus_eats_fall2020,person,TBL,4," ",cell,bigint(19),NULL,
campus_eats_fall2020,person_join,VW,1," ",person_id,int(10),"NOT NULL",
campus_eats_fall2020,person_join,VW,2," ",person_name,varchar(300),NULL,
campus_eats_fall2020,person_join,VW,3," ",person_email,varchar(150),NULL,
campus_eats_fall2020,person_join,VW,4," ",student_id,int(10),"NOT NULL",
campus_eats_fall2020,person_join,VW,5," ",graduation_year,int(10),NULL,
campus_eats_fall2020,person_student,VW,1," ",person_id,int(10),"NOT NULL",
campus_eats_fall2020,person_student,VW,2," ",person_name,varchar(300),NULL,
